barcode,product_family_id,product_title,season,nivel,brand_origin,color_name,color_group,color_intensity,adventurous,application,weather,style,print,basic,fit
841948,TOP,Byhabella Shirt young ,8,2,MAINSTREAM,black,black,oscuro,"('two', 'three')","('freetime', 'work')",warm,"('boho', 'classic')",polka_dot,false,straight
1215403,PANT,Pane Pant lui,8,1,MAINSTREAM,black,black,oscuro,"('two', 'three')",freetime,cold,"('classic', 'minimal')",smooth,false,tight
810876,TSHIRT,Rayes Tshirt peak ,7,2,NO_MAINSTREAM,white,white,claro,two,freetime,warm,casual,vertical_stripes,false,straight
810869,TSHIRT,Rayes Tshirt peak ,7,2,NO_MAINSTREAM,blue_dark,blue,oscuro,two,freetime,warm,casual,vertical_stripes,false,straight
988605,SHIRT,Senes Shirt bambi ,7,2,WHOLE_SALE,blue_light,blue,claro,three,"('work', 'freetime')",warm,"('classic', 'boho')",printed,false,straight
981569,SHIRT,Senes Shirt bambi ,7,2,WHOLE_SALE,white,white,claro,three,"('work', 'freetime')",warm,"('classic', 'boho')",printed,false,straight
989084,DRESS,Wahidden Dress parrot,7,1,MAINSTREAM,green,green,intenso,"('three', 'four')",freetime,warm,"('boho', 'minimal')",tropical,false,straight
798341,JUMPSUIT,Florencia Jumpsuit uni,7,1,MAINSTREAM,green_dark,green,oscuro,"('two', 'three')",freetime,warm,"('boho', 'casual')",smooth,false,straight
798297,JUMPSUIT,Florencia Jumpsuit uni,7,1,MAINSTREAM,black,black,oscuro,"('two', 'three')",freetime,warm,"('boho', 'casual')",smooth,false,straight
795982,TSHIRT,Woven Tshirt collar,7,2,MAINSTREAM,black,black,oscuro,two,"('freetime', 'work')",warm,"('classic', 'boho')",smooth,false,loose
796026,TSHIRT,Woven Tshirt collar,7,2,MAINSTREAM,green_dark,green,oscuro,two,"('freetime', 'work')",warm,"('classic', 'boho')",smooth,false,loose
795906,TSHIRT,Woven Tshirt collar,7,2,MAINSTREAM,white,white,claro,two,"('freetime', 'work')",warm,"('classic', 'boho')",smooth,false,loose
796316,TSHIRT,Taily Tshirt knot,7,2,MAINSTREAM,red,red,intenso,two,freetime,warm,casual,horizontal_stripes,false,loose
796170,TSHIRT,Taily Tshirt knot,7,2,MAINSTREAM,black,black,oscuro,two,freetime,warm,casual,horizontal_stripes,false,loose
796248,TSHIRT,Taily Tshirt knot,7,2,MAINSTREAM,khaki,green,oscuro,two,freetime,warm,casual,horizontal_stripes,false,loose
581127,SWEATER,Haylie Sweater draw ,7,2,PREMIUM,blue_light,blue,claro,three,freetime,cold,street,smooth,false,tight
